,index,date,Mobility_score,con_cases,moving_average_mob,moving_average_cases,demand,retail_and_recreation_percent_change_from_baseline
143,143,17/9/20,0.793192922,27,0.8,34.57,231286.88,-50
144,144,18/9/20,0.7478041999999999,42,0.79,35.0,224671.4,-45
145,145,19/9/20,0.7426157179999999,22,0.77,33.43,186768.0,-49
146,146,20/9/20,0.7413533720000001,8,0.77,29.57,173782.46,-50
147,147,21/9/20,0.782586317,9,0.77,25.57,201955.9,-46
148,148,22/9/20,0.819140924,25,0.78,23.57,206401.28,-48
149,149,23/9/20,0.818470597,24,0.78,22.43,224824.89,-47
150,150,24/9/20,0.786949322,5,0.78,19.29,235071.43,-49
151,151,25/9/20,0.818641457,13,0.79,15.14,252709.36,-49
152,152,26/9/20,0.814354055,11,0.8,13.57,213389.93,-51
153,153,27/9/20,0.744034495,16,0.8,14.71,203406.98,-50
154,154,28/9/20,0.6777288159999999,4,0.78,14.0,229302.28,-43
155,155,29/9/20,0.695919973,9,0.77,11.71,224152.92,-43
156,156,30/9/20,0.730460927,11,0.75,9.86,227240.42,-45
